DestinationID,Name,State,Type,Popularity,BestTimeToVisit,HotelName,HotelPricePerNight
24,Kerala Backwaters,Kerala,Nature,9.182423104129008,Sep-Mar,Coconut Grove Hotel,2393
25,Leh Ladakh,Jammu and Kashmir,Adventure,9.416526131108329,Apr-Jun,Himalayan View Resort,3346
26,Taj Mahal,Uttar Pradesh,Historical,9.088205553232354,Nov-Feb,Taj Heritage Hotel,2915
27,Goa Beaches,Goa,Beach,7.504499933755479,Nov-Mar,Goa Beach Resort,5597
28,Jaipur City,Rajasthan,City,8.471855314612888,Oct-Mar,Jaipur Grand Hotel,3258
29,Kerala Backwaters,Kerala,Nature,8.320514389999829,Sep-Mar,Kerala Nature Retreat,4420
30,Leh Ladakh,Jammu and Kashmir,Adventure,7.930637906720852,Apr-Jun,Snow Peak Resort,5871
31,Taj Mahal,Uttar Pradesh,Historical,8.534267493855534,Nov-Feb,Agra Palace Hotel,3168
32,Goa Beaches,Goa,Beach,7.8063301955187105,Nov-Mar,Ocean View Goa Hotel,4873
33,Jaipur City,Rajasthan,City,7.684440449007848,Oct-Mar,Pink City Heritage Hotel,3233
34,Kerala Backwaters,Kerala,Nature,8.206055639263237,Sep-Mar,Coconut Grove Hotel,3341
35,Leh Ladakh,Jammu and Kashmir,Adventure,8.115627955366532,Apr-Jun,Snow Peak Resort,5383
36,Taj Mahal,Uttar Pradesh,Historical,8.152769658316458,Nov-Feb,Agra Palace Hotel,3310
37,Goa Beaches,Goa,Beach,8.874757885859394,Nov-Mar,Ocean View Goa Hotel,3223
38,Jaipur City,Rajasthan,City,9.458687607787096,Oct-Mar,Jaipur Grand Hotel,2024
39,Kerala Backwaters,Kerala,Nature,9.276722027226734,Sep-Mar,Kerala Backwater Resort,2731
40,Leh Ladakh,Jammu and Kashmir,Adventure,9.451473447708324,Apr-Jun,Snow Peak Resort,2612
41,Taj Mahal,Uttar Pradesh,Historical,9.45205627034071,Nov-Feb,Taj Heritage Hotel,3687
42,Goa Beaches,Goa,Beach,8.854828172623169,Nov-Mar,Ocean View Goa Hotel,3058
43,Jaipur City,Rajasthan,City,8.935833780679161,Oct-Mar,Jaipur Grand Hotel,3848
44,Kerala Backwaters,Kerala,Nature,8.844208014043545,Sep-Mar,Kerala Backwater Resort,4337
45,Leh Ladakh,Jammu and Kashmir,Adventure,8.987615299121257,Apr-Jun,Himalayan View Resort,3153
46,Taj Mahal,Uttar Pradesh,Historical,8.66663306287539,Nov-Feb,Mughal View Resort,1819
47,Goa Beaches,Goa,Beach,7.726020724706562,Nov-Mar,Palm Paradise Resort,4073
48,Jaipur City,Rajasthan,City,9.072662351480414,Oct-Mar,Royal Rajasthan Palace,3628
49,Kerala Backwaters,Kerala,Nature,8.0159728308643,Sep-Mar,Coconut Grove Hotel,4117
50,Leh Ladakh,Jammu and Kashmir,Adventure,8.18047732584072,Apr-Jun,Kashmir Valley Hotel,2638
51,Taj Mahal,Uttar Pradesh,Historical,8.329362264700663,Nov-Feb,Agra Palace Hotel,3526
52,Goa Beaches,Goa,Beach,8.298754590990846,Nov-Mar,Goa Beach Resort,4806
53,Jaipur City,Rajasthan,City,8.399568313158765,Oct-Mar,Pink City Heritage Hotel,2701
54,Kerala Backwaters,Kerala,Nature,8.116931496368345,Sep-Mar,Kerala Backwater Resort,2889
55,Leh Ladakh,Jammu and Kashmir,Adventure,7.560629646730556,Apr-Jun,Kashmir Valley Hotel,4539
56,Taj Mahal,Uttar Pradesh,Historical,8.77933917498307,Nov-Feb,Mughal View Resort,1509
57,Goa Beaches,Goa,Beach,8.061326287087322,Nov-Mar,Ocean View Goa Hotel,2760
58,Jaipur City,Rajasthan,City,8.648115222412239,Oct-Mar,Royal Rajasthan Palace,3742
59,Kerala Backwaters,Kerala,Nature,9.490122865222292,Sep-Mar,Kerala Nature Retreat,3873
60,Leh Ladakh,Jammu and Kashmir,Adventure,8.090294276209098,Apr-Jun,Snow Peak Resort,4719
61,Taj Mahal,Uttar Pradesh,Historical,9.255411351531992,Nov-Feb,Agra Palace Hotel,3560
62,Goa Beaches,Goa,Beach,9.379786903532915,Nov-Mar,Goa Beach Resort,3691
63,Jaipur City,Rajasthan,City,9.202094230781736,Oct-Mar,Pink City Heritage Hotel,3419
64,Kerala Backwaters,Kerala,Nature,7.995381521960635,Sep-Mar,Coconut Grove Hotel,2520
65,Leh Ladakh,Jammu and Kashmir,Adventure,8.264285623199319,Apr-Jun,Kashmir Valley Hotel,3842
66,Taj Mahal,Uttar Pradesh,Historical,8.657185750902032,Nov-Feb,Agra Palace Hotel,3136
67,Goa Beaches,Goa,Beach,7.593468221686345,Nov-Mar,Palm Paradise Resort,4876
68,Jaipur City,Rajasthan,City,7.599766915318256,Oct-Mar,Pink City Heritage Hotel,3794
69,Kerala Backwaters,Kerala,Nature,9.251449511759905,Sep-Mar,Coconut Grove Hotel,5158
70,Leh Ladakh,Jammu and Kashmir,Adventure,8.302199786049163,Apr-Jun,Himalayan View Resort,4443
71,Taj Mahal,Uttar Pradesh,Historical,7.918856059125499,Nov-Feb,Mughal View Resort,3538
72,Goa Beaches,Goa,Beach,9.49812898326928,Nov-Mar,Palm Paradise Resort,5990
73,Jaipur City,Rajasthan,City,9.365362186929548,Oct-Mar,Pink City Heritage Hotel,2918
74,Kerala Backwaters,Kerala,Nature,8.61852560875922,Sep-Mar,Coconut Grove Hotel,3804
75,Leh Ladakh,Jammu and Kashmir,Adventure,8.051674304536373,Apr-Jun,Kashmir Valley Hotel,4865
76,Taj Mahal,Uttar Pradesh,Historical,9.019776840711156,Nov-Feb,Agra Palace Hotel,1735
77,Goa Beaches,Goa,Beach,8.72436552320658,Nov-Mar,Palm Paradise Resort,4469
78,Jaipur City,Rajasthan,City,8.697245496090385,Oct-Mar,Jaipur Grand Hotel,2133
79,Kerala Backwaters,Kerala,Nature,8.48262944456915,Sep-Mar,Kerala Nature Retreat,4108
80,Leh Ladakh,Jammu and Kashmir,Adventure,9.167168852535996,Apr-Jun,Kashmir Valley Hotel,2875
81,Taj Mahal,Uttar Pradesh,Historical,8.113730398100675,Nov-Feb,Mughal View Resort,2660
82,Goa Beaches,Goa,Beach,8.067416540924038,Nov-Mar,Goa Beach Resort,5135
83,Jaipur City,Rajasthan,City,9.25520276869782,Oct-Mar,Pink City Heritage Hotel,3370
84,Kerala Backwaters,Kerala,Nature,9.33374854303011,Sep-Mar,Kerala Backwater Resort,4760
85,Leh Ladakh,Jammu and Kashmir,Adventure,7.877439168200071,Apr-Jun,Himalayan View Resort,3819
86,Taj Mahal,Uttar Pradesh,Historical,8.093807911279,Nov-Feb,Agra Palace Hotel,3355
87,Goa Beaches,Goa,Beach,8.322799778823294,Nov-Mar,Ocean View Goa Hotel,3872
88,Jaipur City,Rajasthan,City,9.018383603515831,Oct-Mar,Royal Rajasthan Palace,2672
89,Kerala Backwaters,Kerala,Nature,8.686130970942902,Sep-Mar,Coconut Grove Hotel,3452
90,Leh Ladakh,Jammu and Kashmir,Adventure,7.864848872360961,Apr-Jun,Himalayan View Resort,4817
91,Taj Mahal,Uttar Pradesh,Historical,8.775155892425978,Nov-Feb,Taj Heritage Hotel,3351
92,Goa Beaches,Goa,Beach,7.842354721882594,Nov-Mar,Goa Beach Resort,5345
93,Jaipur City,Rajasthan,City,9.116298424696906,Oct-Mar,Royal Rajasthan Palace,3114
94,Kerala Backwaters,Kerala,Nature,7.678657960181018,Sep-Mar,Kerala Nature Retreat,2924
95,Leh Ladakh,Jammu and Kashmir,Adventure,8.18716561676901,Apr-Jun,Himalayan View Resort,5736
96,Taj Mahal,Uttar Pradesh,Historical,8.984287702263758,Nov-Feb,Taj Heritage Hotel,3552
97,Goa Beaches,Goa,Beach,8.882535315140167,Nov-Mar,Goa Beach Resort,5398
98,Jaipur City,Rajasthan,City,7.511446246886857,Oct-Mar,Jaipur Grand Hotel,1877
99,Kerala Backwaters,Kerala,Nature,8.154277486295694,Sep-Mar,Kerala Backwater Resort,4821
100,Leh Ladakh,Jammu and Kashmir,Adventure,8.55062227154497,Apr-Jun,Himalayan View Resort,2631
101,Taj Mahal,Uttar Pradesh,Historical,9.35787687156371,Nov-Feb,Mughal View Resort,2100
102,Goa Beaches,Goa,Beach,7.901206474541698,Nov-Mar,Ocean View Goa Hotel,4272
103,Jaipur City,Rajasthan,City,9.293866271159713,Oct-Mar,Jaipur Grand Hotel,2865
104,Kerala Backwaters,Kerala,Nature,9.032056856576263,Sep-Mar,Kerala Backwater Resort,4336
105,Leh Ladakh,Jammu and Kashmir,Adventure,9.367695620218187,Apr-Jun,Snow Peak Resort,4949
106,Taj Mahal,Uttar Pradesh,Historical,8.494823560399388,Nov-Feb,Mughal View Resort,3843
107,Goa Beaches,Goa,Beach,8.670099991881528,Nov-Mar,Goa Beach Resort,4363
108,Jaipur City,Rajasthan,City,8.180179995253692,Oct-Mar,Jaipur Grand Hotel,3118
109,Kerala Backwaters,Kerala,Nature,8.024075275103758,Sep-Mar,Kerala Backwater Resort,2815
110,Leh Ladakh,Jammu and Kashmir,Adventure,8.885980061188206,Apr-Jun,Kashmir Valley Hotel,6097
111,Taj Mahal,Uttar Pradesh,Historical,8.979764648904338,Nov-Feb,Mughal View Resort,3969
112,Goa Beaches,Goa,Beach,8.196505600821453,Nov-Mar,Palm Paradise Resort,4388
113,Jaipur City,Rajasthan,City,7.576534512918616,Oct-Mar,Royal Rajasthan Palace,2846
114,Kerala Backwaters,Kerala,Nature,9.46714704036077,Sep-Mar,Kerala Nature Retreat,2774
115,Leh Ladakh,Jammu and Kashmir,Adventure,8.717346793179837,Apr-Jun,Himalayan View Resort,4690
116,Taj Mahal,Uttar Pradesh,Historical,8.636073233725135,Nov-Feb,Agra Palace Hotel,2492
117,Goa Beaches,Goa,Beach,9.21979801445382,Nov-Mar,Goa Beach Resort,5212
118,Jaipur City,Rajasthan,City,7.69898565359074,Oct-Mar,Jaipur Grand Hotel,3992
119,Kerala Backwaters,Kerala,Nature,8.953643159740016,Sep-Mar,Kerala Nature Retreat,3448
120,Leh Ladakh,Jammu and Kashmir,Adventure,7.928950861748308,Apr-Jun,Kashmir Valley Hotel,5554
121,Taj Mahal,Uttar Pradesh,Historical,8.624112218256297,Nov-Feb,Taj Heritage Hotel,2002
122,Goa Beaches,Goa,Beach,7.791202932648026,Nov-Mar,Ocean View Goa Hotel,4497
123,Jaipur City,Rajasthan,City,9.31595003961975,Oct-Mar,Pink City Heritage Hotel,2620
124,Kerala Backwaters,Kerala,Nature,7.921320004258767,Sep-Mar,Kerala Nature Retreat,4351
125,Leh Ladakh,Jammu and Kashmir,Adventure,8.13647203127079,Apr-Jun,Snow Peak Resort,5610
126,Taj Mahal,Uttar Pradesh,Historical,8.271757062443388,Nov-Feb,Taj Heritage Hotel,3470
127,Goa Beaches,Goa,Beach,8.132745077467629,Nov-Mar,Ocean View Goa Hotel,2697
128,Jaipur City,Rajasthan,City,7.513479447324053,Oct-Mar,Royal Rajasthan Palace,3469
129,Kerala Backwaters,Kerala,Nature,9.066328357904666,Sep-Mar,Kerala Nature Retreat,4826
130,Leh Ladakh,Jammu and Kashmir,Adventure,9.46063445778344,Apr-Jun,Kashmir Valley Hotel,4938
131,Taj Mahal,Uttar Pradesh,Historical,8.853926858989041,Nov-Feb,Mughal View Resort,2702
132,Goa Beaches,Goa,Beach,8.188672007745929,Nov-Mar,Goa Beach Resort,5101
133,Jaipur City,Rajasthan,City,7.813559346844389,Oct-Mar,Royal Rajasthan Palace,3271
134,Kerala Backwaters,Kerala,Nature,7.743269418238725,Sep-Mar,Coconut Grove Hotel,5286
135,Leh Ladakh,Jammu and Kashmir,Adventure,9.398122784522716,Apr-Jun,Snow Peak Resort,4146
136,Taj Mahal,Uttar Pradesh,Historical,8.15356207947505,Nov-Feb,Mughal View Resort,3192
137,Goa Beaches,Goa,Beach,8.863570277264008,Nov-Mar,Palm Paradise Resort,3812
138,Jaipur City,Rajasthan,City,9.195643436953048,Oct-Mar,Jaipur Grand Hotel,3835
139,Kerala Backwaters,Kerala,Nature,8.426322913287258,Sep-Mar,Kerala Nature Retreat,2677
140,Leh Ladakh,Jammu and Kashmir,Adventure,8.907807740975244,Apr-Jun,Himalayan View Resort,3754
141,Taj Mahal,Uttar Pradesh,Historical,7.618133331669091,Nov-Feb,Mughal View Resort,2422
142,Goa Beaches,Goa,Beach,7.601039201109356,Nov-Mar,Ocean View Goa Hotel,2919
143,Jaipur City,Rajasthan,City,8.299735698712732,Oct-Mar,Pink City Heritage Hotel,4004
144,Kerala Backwaters,Kerala,Nature,7.8305412284530735,Sep-Mar,Coconut Grove Hotel,4797
145,Leh Ladakh,Jammu and Kashmir,Adventure,9.388011428887994,Apr-Jun,Himalayan View Resort,6012
146,Taj Mahal,Uttar Pradesh,Historical,8.373844119971205,Nov-Feb,Mughal View Resort,2620
147,Goa Beaches,Goa,Beach,7.770934466715671,Nov-Mar,Ocean View Goa Hotel,5568
148,Jaipur City,Rajasthan,City,7.69274109154765,Oct-Mar,Jaipur Grand Hotel,2750
149,Kerala Backwaters,Kerala,Nature,7.812523860815096,Sep-Mar,Kerala Backwater Resort,4536
150,Leh Ladakh,Jammu and Kashmir,Adventure,8.863872329774836,Apr-Jun,Himalayan View Resort,3777
151,Taj Mahal,Uttar Pradesh,Historical,9.450175079123191,Nov-Feb,Agra Palace Hotel,3743
152,Goa Beaches,Goa,Beach,9.000248319359416,Nov-Mar,Goa Beach Resort,5145
153,Jaipur City,Rajasthan,City,9.072635913777948,Oct-Mar,Jaipur Grand Hotel,3657
154,Kerala Backwaters,Kerala,Nature,9.48479754719289,Sep-Mar,Kerala Nature Retreat,2716
155,Leh Ladakh,Jammu and Kashmir,Adventure,7.933121408559026,Apr-Jun,Himalayan View Resort,4158
156,Taj Mahal,Uttar Pradesh,Historical,8.96758311752555,Nov-Feb,Mughal View Resort,3365
157,Goa Beaches,Goa,Beach,7.607643334351276,Nov-Mar,Ocean View Goa Hotel,5412
158,Jaipur City,Rajasthan,City,8.533439718586166,Oct-Mar,Royal Rajasthan Palace,2941
159,Kerala Backwaters,Kerala,Nature,8.017566360422618,Sep-Mar,Kerala Backwater Resort,5053
160,Leh Ladakh,Jammu and Kashmir,Adventure,8.0366846404497,Apr-Jun,Snow Peak Resort,4432
161,Taj Mahal,Uttar Pradesh,Historical,7.738547101644033,Nov-Feb,Mughal View Resort,2314
162,Goa Beaches,Goa,Beach,7.5447704698175055,Nov-Mar,Ocean View Goa Hotel,4775
163,Jaipur City,Rajasthan,City,8.168780568830128,Oct-Mar,Pink City Heritage Hotel,3700
164,Kerala Backwaters,Kerala,Nature,7.81836693407545,Sep-Mar,Coconut Grove Hotel,4463
165,Leh Ladakh,Jammu and Kashmir,Adventure,7.554650204523121,Apr-Jun,Kashmir Valley Hotel,5495
166,Taj Mahal,Uttar Pradesh,Historical,7.967520190746358,Nov-Feb,Taj Heritage Hotel,3562
167,Goa Beaches,Goa,Beach,9.1852981894065,Nov-Mar,Palm Paradise Resort,5728
168,Jaipur City,Rajasthan,City,7.634504263080543,Oct-Mar,Royal Rajasthan Palace,3894
169,Kerala Backwaters,Kerala,Nature,7.686748942635202,Sep-Mar,Kerala Backwater Resort,4571
170,Leh Ladakh,Jammu and Kashmir,Adventure,7.848982805962368,Apr-Jun,Kashmir Valley Hotel,5391
171,Taj Mahal,Uttar Pradesh,Historical,7.721043377213922,Nov-Feb,Agra Palace Hotel,1629
172,Goa Beaches,Goa,Beach,9.486279939461564,Nov-Mar,Palm Paradise Resort,5982
173,Jaipur City,Rajasthan,City,7.722252209890692,Oct-Mar,Jaipur Grand Hotel,1894
174,Kerala Backwaters,Kerala,Nature,8.360692114959477,Sep-Mar,Coconut Grove Hotel,4874
175,Leh Ladakh,Jammu and Kashmir,Adventure,8.866219313947683,Apr-Jun,Snow Peak Resort,5302
176,Taj Mahal,Uttar Pradesh,Historical,8.165093921735247,Nov-Feb,Taj Heritage Hotel,3455
177,Goa Beaches,Goa,Beach,9.446896779006565,Nov-Mar,Ocean View Goa Hotel,5863
178,Jaipur City,Rajasthan,City,8.544351694378236,Oct-Mar,Pink City Heritage Hotel,2593
179,Kerala Backwaters,Kerala,Nature,8.299149270820505,Sep-Mar,Kerala Backwater Resort,4034
180,Leh Ladakh,Jammu and Kashmir,Adventure,8.091363134430685,Apr-Jun,Himalayan View Resort,5854
181,Taj Mahal,Uttar Pradesh,Historical,9.236840653145723,Nov-Feb,Taj Heritage Hotel,3616
182,Goa Beaches,Goa,Beach,8.332585021952074,Nov-Mar,Ocean View Goa Hotel,4183
183,Jaipur City,Rajasthan,City,8.872498743885908,Oct-Mar,Pink City Heritage Hotel,1810
184,Kerala Backwaters,Kerala,Nature,7.816345212118861,Sep-Mar,Kerala Backwater Resort,4065
185,Leh Ladakh,Jammu and Kashmir,Adventure,8.242881342868039,Apr-Jun,Himalayan View Resort,5419
186,Taj Mahal,Uttar Pradesh,Historical,8.118994457168691,Nov-Feb,Taj Heritage Hotel,2211
187,Goa Beaches,Goa,Beach,8.843079930515232,Nov-Mar,Ocean View Goa Hotel,4570
188,Jaipur City,Rajasthan,City,8.202625978518912,Oct-Mar,Jaipur Grand Hotel,2614
189,Kerala Backwaters,Kerala,Nature,8.649611762507414,Sep-Mar,Coconut Grove Hotel,2545
190,Leh Ladakh,Jammu and Kashmir,Adventure,9.150588626183191,Apr-Jun,Snow Peak Resort,4849
191,Taj Mahal,Uttar Pradesh,Historical,8.072256876114661,Nov-Feb,Taj Heritage Hotel,1862
192,Goa Beaches,Goa,Beach,8.419905788920559,Nov-Mar,Palm Paradise Resort,4943
193,Jaipur City,Rajasthan,City,7.672819736516948,Oct-Mar,Royal Rajasthan Palace,4065
194,Kerala Backwaters,Kerala,Nature,7.764994888805412,Sep-Mar,Kerala Backwater Resort,4388
195,Leh Ladakh,Jammu and Kashmir,Adventure,9.09297245471366,Apr-Jun,Snow Peak Resort,6187
196,Taj Mahal,Uttar Pradesh,Historical,8.393643741715653,Nov-Feb,Agra Palace Hotel,2484
197,Goa Beaches,Goa,Beach,9.433855269535494,Nov-Mar,Ocean View Goa Hotel,5540
198,Jaipur City,Rajasthan,City,8.25589320047637,Oct-Mar,Jaipur Grand Hotel,3439
199,Kerala Backwaters,Kerala,Nature,9.112874173872637,Sep-Mar,Coconut Grove Hotel,3027
200,Leh Ladakh,Jammu and Kashmir,Adventure,7.77167518972464,Apr-Jun,Himalayan View Resort,5230
201,Taj Mahal,Uttar Pradesh,Historical,7.653509093644129,Nov-Feb,Taj Heritage Hotel,1855
202,Goa Beaches,Goa,Beach,8.24671865641993,Nov-Mar,Palm Paradise Resort,5555
203,Jaipur City,Rajasthan,City,9.04284018561824,Oct-Mar,Royal Rajasthan Palace,3147
204,Kerala Backwaters,Kerala,Nature,7.96348370355229,Sep-Mar,Coconut Grove Hotel,5404
205,Leh Ladakh,Jammu and Kashmir,Adventure,8.456754675076878,Apr-Jun,Kashmir Valley Hotel,5435
206,Taj Mahal,Uttar Pradesh,Historical,9.282226276103572,Nov-Feb,Mughal View Resort,3363
207,Goa Beaches,Goa,Beach,8.560557283746103,Nov-Mar,Palm Paradise Resort,2626
208,Jaipur City,Rajasthan,City,9.232664943302456,Oct-Mar,Jaipur Grand Hotel,2403
209,Kerala Backwaters,Kerala,Nature,7.650543289908463,Sep-Mar,Kerala Backwater Resort,4128
210,Leh Ladakh,Jammu and Kashmir,Adventure,8.277611273067814,Apr-Jun,Himalayan View Resort,3513
211,Taj Mahal,Uttar Pradesh,Historical,8.188261257930963,Nov-Feb,Taj Heritage Hotel,1550
212,Goa Beaches,Goa,Beach,9.149424673009314,Nov-Mar,Goa Beach Resort,5600
213,Jaipur City,Rajasthan,City,7.971646077114067,Oct-Mar,Jaipur Grand Hotel,3230
214,Kerala Backwaters,Kerala,Nature,8.37824470003113,Sep-Mar,Kerala Backwater Resort,3992
215,Leh Ladakh,Jammu and Kashmir,Adventure,7.584036611041155,Apr-Jun,Kashmir Valley Hotel,5361
216,Taj Mahal,Uttar Pradesh,Historical,9.36720219996661,Nov-Feb,Agra Palace Hotel,3136
217,Goa Beaches,Goa,Beach,9.14476464169103,Nov-Mar,Palm Paradise Resort,5976
218,Jaipur City,Rajasthan,City,9.034168574407344,Oct-Mar,Jaipur Grand Hotel,3445
219,Kerala Backwaters,Kerala,Nature,9.23761035529466,Sep-Mar,Kerala Backwater Resort,4667
220,Leh Ladakh,Jammu and Kashmir,Adventure,8.869504608299943,Apr-Jun,Himalayan View Resort,3705
221,Taj Mahal,Uttar Pradesh,Historical,8.719051821566694,Nov-Feb,Taj Heritage Hotel,3354
222,Goa Beaches,Goa,Beach,8.240843057485613,Nov-Mar,Ocean View Goa Hotel,3066
223,Jaipur City,Rajasthan,City,8.936949815863377,Oct-Mar,Pink City Heritage Hotel,4218
224,Kerala Backwaters,Kerala,Nature,8.077912596148288,Sep-Mar,Coconut Grove Hotel,3135
225,Leh Ladakh,Jammu and Kashmir,Adventure,8.793334588772431,Apr-Jun,Himalayan View Resort,4434
226,Taj Mahal,Uttar Pradesh,Historical,7.721478393909334,Nov-Feb,Agra Palace Hotel,2832
227,Goa Beaches,Goa,Beach,8.882153318904079,Nov-Mar,Palm Paradise Resort,5708
228,Jaipur City,Rajasthan,City,8.534275498218907,Oct-Mar,Jaipur Grand Hotel,2001
229,Kerala Backwaters,Kerala,Nature,7.603935909874509,Sep-Mar,Kerala Nature Retreat,4560
230,Leh Ladakh,Jammu and Kashmir,Adventure,7.619039723254248,Apr-Jun,Snow Peak Resort,2616
231,Taj Mahal,Uttar Pradesh,Historical,7.788256139986302,Nov-Feb,Mughal View Resort,2436
232,Goa Beaches,Goa,Beach,8.789144742286863,Nov-Mar,Goa Beach Resort,3074
233,Jaipur City,Rajasthan,City,7.782973981393143,Oct-Mar,Jaipur Grand Hotel,4091
234,Kerala Backwaters,Kerala,Nature,9.420960540403104,Sep-Mar,Coconut Grove Hotel,2736
235,Leh Ladakh,Jammu and Kashmir,Adventure,8.734064597506109,Apr-Jun,Himalayan View Resort,4125
236,Taj Mahal,Uttar Pradesh,Historical,8.42477279242355,Nov-Feb,Agra Palace Hotel,3622
237,Goa Beaches,Goa,Beach,8.160740974111713,Nov-Mar,Palm Paradise Resort,2885
238,Jaipur City,Rajasthan,City,8.127785896913094,Oct-Mar,Pink City Heritage Hotel,2274
239,Kerala Backwaters,Kerala,Nature,8.757659224866991,Sep-Mar,Kerala Nature Retreat,2617
240,Leh Ladakh,Jammu and Kashmir,Adventure,8.51845220238507,Apr-Jun,Snow Peak Resort,4894
241,Taj Mahal,Uttar Pradesh,Historical,7.668642704912232,Nov-Feb,Taj Heritage Hotel,2438
242,Goa Beaches,Goa,Beach,9.164688152340853,Nov-Mar,Goa Beach Resort,3454
243,Jaipur City,Rajasthan,City,9.068862539358657,Oct-Mar,Jaipur Grand Hotel,2675
244,Kerala Backwaters,Kerala,Nature,9.011521245140806,Sep-Mar,Coconut Grove Hotel,2962
245,Leh Ladakh,Jammu and Kashmir,Adventure,9.459953313645835,Apr-Jun,Himalayan View Resort,3702
246,Taj Mahal,Uttar Pradesh,Historical,8.617311411386703,Nov-Feb,Mughal View Resort,2705
247,Goa Beaches,Goa,Beach,9.153509849210488,Nov-Mar,Ocean View Goa Hotel,3163
248,Jaipur City,Rajasthan,City,7.879027092891848,Oct-Mar,Jaipur Grand Hotel,1824
249,Kerala Backwaters,Kerala,Nature,8.89428404394321,Sep-Mar,Coconut Grove Hotel,4190
250,Leh Ladakh,Jammu and Kashmir,Adventure,9.151090722807776,Apr-Jun,Snow Peak Resort,3703
251,Taj Mahal,Uttar Pradesh,Historical,8.041916757088895,Nov-Feb,Mughal View Resort,2209
252,Goa Beaches,Goa,Beach,8.836459649194737,Nov-Mar,Ocean View Goa Hotel,4379
253,Jaipur City,Rajasthan,City,8.125034098865065,Oct-Mar,Jaipur Grand Hotel,2984
254,Kerala Backwaters,Kerala,Nature,9.143167495034348,Sep-Mar,Kerala Backwater Resort,4424
255,Leh Ladakh,Jammu and Kashmir,Adventure,8.59789687012441,Apr-Jun,Himalayan View Resort,2784
256,Taj Mahal,Uttar Pradesh,Historical,8.403655361533389,Nov-Feb,Mughal View Resort,1562
257,Goa Beaches,Goa,Beach,8.284116199094758,Nov-Mar,Palm Paradise Resort,3502
258,Jaipur City,Rajasthan,City,7.617165381372276,Oct-Mar,Royal Rajasthan Palace,2461
259,Kerala Backwaters,Kerala,Nature,8.382675748307422,Sep-Mar,Kerala Nature Retreat,4913
260,Leh Ladakh,Jammu and Kashmir,Adventure,7.917003558302456,Apr-Jun,Himalayan View Resort,4703
261,Taj Mahal,Uttar Pradesh,Historical,8.083688761192684,Nov-Feb,Taj Heritage Hotel,2992
262,Goa Beaches,Goa,Beach,7.758783397757156,Nov-Mar,Palm Paradise Resort,5620
263,Jaipur City,Rajasthan,City,9.407835019184882,Oct-Mar,Jaipur Grand Hotel,2766
264,Kerala Backwaters,Kerala,Nature,8.025088514803304,Sep-Mar,Kerala Nature Retreat,3048
265,Leh Ladakh,Jammu and Kashmir,Adventure,9.1417227262193,Apr-Jun,Kashmir Valley Hotel,3607
266,Taj Mahal,Uttar Pradesh,Historical,8.91877315803813,Nov-Feb,Agra Palace Hotel,2188
